****** Levels
 8.49102203E+15      4.    2  'O II 4So 1'  0   0.  0
  0.4446  0.4511  0.4575  0.4963  0.5028  0.5416  0.5610  0.6709  0.7550  0.7938
  1.4258
  0.1447  0.1533  0.1413  0.1450  0.2724  0.3095  0.4735  0.6242  0.7612  0.8189
  0.7990  0.7481  0.6555  0.4275  0.3126  0.2229  0.1677  0.1712  0.2171  0.2911
  0.3750  0.4178  0.4015  0.3265  0.1065  0.0280 -0.0288 -0.0621 -0.1040 -0.1266
 -0.1113 -0.0349  0.1658  0.4583  0.7380  0.9396  1.0480  1.0541  0.9626  0.7839
  0.5309  0.2471  0.0639 -0.2993 -0.3210 -0.3740 -0.3932 -0.5887 -0.7338 -0.8406
 -2.7392
  12  30   1    173      0      0      0   2.194E-20   0.000E+00
 -0.0211 -0.0146 -0.0082  0.0048  0.0112  0.0177  0.0242  0.0306  0.0371  0.0436
  0.0500  0.0630  0.0759  0.0888  0.1082  0.1405  0.1535  0.1729  0.1793  0.2375
  0.2505  0.2828  0.3087  0.3151  0.3216  0.3281  0.3345  0.3410  0.3475  0.3539
  0.3604  0.3669  0.3733  0.3798  0.3863  0.3927  0.3992  0.4057  0.4121  0.4186
  0.4251  0.4315  0.4380  0.4445  0.4509  0.4574  0.4639  0.4703  0.4768  0.4962
  0.5026  0.5091  0.5220  0.5350  0.5867  0.6126  0.6384  0.6514  0.6578  0.6643
  0.6708  0.6837  0.6902  0.6966  0.7031  0.7096  0.7160  0.7225  0.7290  0.7354
  0.7419  0.7742  1.4277
  0.0987  0.0496 -0.0362 -0.2630 -0.3123 -0.2901 -0.2396 -0.2123 -0.2154 -0.2274
 -0.2272 -0.1912 -0.1362 -0.0704 -0.0033  0.0120 -0.0101 -0.0696 -0.0795 -0.0535
 -0.0639 -0.0357  0.0042  0.0488  0.1364  0.3452  0.6009  0.8805  1.1055  1.2428
  1.2835  1.2288  1.0838  0.8617  0.6133  0.4833  0.6209  0.8578  1.0402  1.1295
  1.1196  1.0132  0.8178  0.5505  0.2472 -0.0272 -0.2140 -0.3223 -0.3770 -0.3879
 -0.3735 -0.3738 -0.4095 -0.4432 -0.4981 -0.5036 -0.5532 -0.5556 -0.5501 -0.4960
 -0.3871 -0.0633  0.0384  0.0623  0.0054 -0.1234 -0.2766 -0.4212 -0.5517 -0.6134
 -0.6373 -0.7055 -2.6659
  13  30   1    157      0      0      0   3.861E-19   0.000E+00
-0.0220  0.0103  0.0362  0.0621  0.1590  0.1720  0.1784  0.1849  0.1914  0.2043
  0.2108  0.2172  0.2237  0.2302  0.2366  0.2496  0.2560  0.2625  0.2690  0.2754
  0.2819  0.2884  0.2948  0.3013  0.3078  0.3142  0.3207  0.3272  0.3336  0.3401
  0.3466  0.3595  0.3724  0.3789  0.3854  0.3918  0.3983  0.4048  0.4112  0.4177
  0.4306  0.4371  0.4436  0.4500  0.4565  0.4629  0.4694  0.4759  0.4888  0.4953
  0.5017  0.5147  0.5470  0.6569  0.7733  0.9220  1.4419
  0.3058  0.3292  0.2972  0.2744  0.2255  0.2290  0.2382  0.2706  0.3783  0.7180
  0.8944  1.0032  1.0245  0.9630  0.8359  0.5067  0.3640  0.2721  0.2760  0.3698
  0.5155  0.7330  0.9063  0.9948  0.9915  0.8998  0.7242  0.5046  0.2727  0.0973
  0.0029 -0.0588 -0.0664 -0.0548  0.0213  0.1290  0.3116  0.5035  0.6485  0.7351
  0.8320  0.8898  0.9287  0.9135  0.8272  0.6719  0.4614  0.2386 -0.1161 -0.2345
 -0.2760 -0.3192 -0.3774 -0.5731 -0.7967 -1.2374 -2.7997
  14  30   1    157      0      0      0   4.471E-19   0.000E+00
 -0.0223  0.0618  0.1135  0.1200  0.1264  0.1329  0.1394  0.1523  0.1846  0.1911
  0.1976  0.2040  0.2105  0.2234  0.2299  0.2364  0.2428  0.2493  0.2622  0.2687
  0.2752  0.2816  0.2881  0.2945  0.3010  0.3075  0.3139  0.3204  0.3333  0.3398
  0.3463  0.3527  0.3657  0.3786  0.3915  0.3980  0.4045  0.4109  0.4174  0.4239
  0.4303  0.4368  0.4433  0.4497  0.4562  0.4627  0.4691  0.5079  0.5144  0.5467
  0.5661  0.5791  0.6437  0.7601  0.7860  0.9218  1.4445
  0.3461  0.3322  0.4283  0.4823  0.5155  0.5025  0.4475  0.3010  0.4228  0.4247
  0.4040  0.4237  0.4760  0.7401  0.8220  0.8344  0.7781  0.6631  0.3683  0.2871
  0.3678  0.5032  0.7208  0.8913  0.9825  0.9851  0.9059  0.7550  0.3842  0.2320
  0.1442  0.0967  0.0487  0.0324  0.0379  0.0629  0.1757  0.3851  0.6408  0.8532
  0.9901  1.0275  0.9675  0.8156  0.5837  0.3040  0.0365 -0.2548 -0.2861 -0.3351
 -0.3505 -0.3804 -0.5384 -0.7474 -0.7906 -1.1926 -2.7635
  15  30   1    168      0      0      0   3.208E-19   0.000E+00
 -0.0226  0.0679  0.0873  0.1132  0.1197  0.1261  0.1326  0.1391  0.1455  0.1520
  0.1585  0.1649  0.1714  0.1779  0.1843  0.1908  0.1973  0.2037  0.2167  0.2231
  0.2555  0.2749  0.2878  0.3007  0.3072  0.3137  0.3201  0.3266  0.3331  0.3395
  0.3460  0.3525  0.3589  0.3654  0.3719  0.3783  0.3848  0.3912  0.3977  0.4042
  0.4106  0.4171  0.4300  0.4365  0.4494  0.4559  0.4688  0.4753  0.4818  0.4947
  0.5012  0.5141  0.5206  0.5270  0.5400  0.5464  0.5658  0.5788  0.5982  0.6046
  0.6111  0.6305  0.6370  0.6564  0.7275  0.7792  0.8115  1.4514
  0.2587  0.1169  0.0876  0.0851  0.1019  0.1669  0.3238  0.5413  0.8312  1.0949
  1.2789  1.3684  1.3597  1.2568  1.0670  0.8078  0.5199  0.2692 -0.0031 -0.0766
 -0.2077 -0.0945 -0.0152  0.1909  0.2256  0.1920  0.1049 -0.0024 -0.0416  0.1163
  0.3505  0.6113  0.8264  0.9339  0.9587  0.9121  0.8137  0.6962  0.5999  0.5520
  0.5484  0.5722  0.6469  0.6662  0.6613  0.7095  0.9060  0.9645  0.9729  0.9129
  0.9053  0.9616  0.9766  0.9703  0.9410  0.9399  0.9588  0.9603  0.9973  1.0017
  0.9904  0.9086  0.8940  0.9009  0.8163  0.7328  0.6480 -1.2740
  16  30   1    153      0      0      0   3.838E-19   0.000E+00
 -0.0228  0.0742  0.0936  0.1906  0.1970  0.2164  0.2229  0.2358  0.2423  0.2488
  0.2552  0.2617  0.2682  0.2746  0.2811  0.2876  0.2940  0.3005  0.3069  0.3134
  0.3199  0.3263  0.3328  0.3393  0.3457  0.3522  0.3587  0.3651  0.3716  0.3845
  0.3910  0.3975  0.4039  0.4104  0.4169  0.4233  0.4298  0.4427  0.4557  0.4621
  0.4686  0.4751  0.4880  0.5009  0.5074  0.5139  0.5203  0.5268  0.5333  0.5850
  0.6367  0.7919  1.4561
  0.3050  0.2587  0.2620  0.1789  0.2115  0.4194  0.5258  0.8223  0.9430  1.0085
  1.0004  0.9151  0.7628  0.5887  0.4789  0.4534  0.5593  0.7041  0.8093  0.8587
  0.8593  0.8224  0.7513  0.6408  0.4864  0.2980  0.1345 -0.0088 -0.1287 -0.1779
 -0.1543 -0.0604  0.1355  0.3746  0.5786  0.7130  0.7718  0.7925  0.8502  0.8364
  0.7683  0.6557  0.3753  0.0958 -0.0312 -0.1202 -0.1894 -0.2331 -0.2606 -0.3852
 -0.4898 -0.7871 -2.7786
  17  30   1    155      0      0      0   1.255E-20   0.000E+00
 -0.0294 -0.0165 -0.0100 -0.0035  0.0029  0.0094  0.0159  0.0223  0.0353  0.0417
  0.0482  0.0547  0.0611  0.0741  0.0805  0.0870  0.0935  0.0999  0.1064  0.1129
  0.1646  0.2293  0.2875  0.3456  0.4168  0.4491  0.4556  0.4620  0.4750  0.4814
  0.4879  0.4944  0.5008  0.5073  0.5138  0.5202  0.5267  0.5332  0.5396  0.5461
  0.5526  0.5590  0.5655  0.5720  0.5784  0.5849  0.5914  0.5978  0.6043  0.6108
  0.6819  0.7595  0.8694  0.9147  1.5463
 -1.3752 -1.1578 -0.9756 -0.7611 -0.5735 -0.4543 -0.4184 -0.4580 -0.6369 -0.6454
 -0.5816 -0.5084 -0.4650 -0.4240 -0.3906 -0.3391 -0.2630 -0.1621 -0.0515  0.0479
  0.2139  0.1874  0.1408  0.0828  0.0218  0.0255  0.1006  0.3332  0.9327  1.1670
  1.3061  1.3434  1.2813  1.1274  0.9043  0.7019  0.6574  0.7736  0.9879  1.1352
  1.1881  1.1436  1.0046  0.7810  0.4984  0.1948 -0.0312 -0.2121 -0.2665 -0.3002
 -0.4175 -0.5511 -0.7729 -0.8996 -2.7970
  18  30   1    173      0      0      0   6.541E-20   0.000E+00
 -0.0302 -0.0044  0.0021  0.0086  0.0150  0.0215  0.0280  0.0344  0.0409  0.0474
  0.0538  0.0603  0.0797  0.0862  0.0991  0.1120  0.1185  0.1702  0.2284  0.2349
  0.2413  0.2607  0.2737  0.2801  0.2866  0.3060  0.3125  0.3319  0.3513  0.3577
  0.3771  0.3901  0.4030  0.4095  0.4159  0.4224  0.4418  0.4482  0.4547  0.4612
  0.4676  0.4741  0.4806  0.4870  0.4935  0.5000  0.5064  0.5129  0.5194  0.5258
  0.5323  0.5388  0.5452  0.5517  0.5582  0.5646  0.5711  0.5776  0.5840  0.5905
  0.5970  0.6034  0.6099  0.6164  0.6293  0.6552  0.6746  0.7004  0.7392  0.7909
  0.8879  1.1336  1.5549
 -0.4113  0.1510  0.3639  0.5432  0.6263  0.6099  0.5051  0.3412  0.2140  0.1352
  0.1133  0.1352  0.1389  0.1572  0.2213  0.2975  0.3139  0.3409  0.3064  0.3062
  0.3228  0.4603  0.6000  0.6165  0.5733  0.3108  0.2450  0.1898  0.1404  0.1353
  0.1917  0.2009  0.2321  0.2590  0.2756  0.2572  0.1647  0.1863  0.2303  0.3229
  0.4691  0.6363  0.8364  1.0257  1.1663  1.2346  1.2196  1.1215  0.9529  0.7473
