****** Levels
 1.87322894E+16      1.    2  'N IV 1Se 1'  0   0.   0  
 1.67133928E+16      9.    2  'N IV 3Po 1'  0   0.   0  
 1.48143397E+16      3.    2  'N IV 1Po 1'  0   0.   0  
 1.34660496E+16      9.    2  'N IV 3Pe 1'  0   0.   0
 1.30699344E+16      5.    2  'N IV 1De 1'  0   0.   0
 1.16763464E+16      1.    2  'N IV 1Se 2'  0   0.   0
 7.42202293E+15      3.    3  'N IV 3Se 1'  0   0.   -102  
 7.07515546E+15      1.    3  'N IV 1Se 3'  0   0.   -102  
 6.60548307E+15      3.    3  'N IV 1Po 2'  0   0.   -102  
 6.56103875E+15      9.    3  'N IV 3Po 2'  0   0.   -102  
 6.13992311E+15     15.    3  'N IV 3De 1'  0   0.   -102  
 5.86690922E+15      5.    3  'N IV 1De 2'  0   0.   -102  
 4.77886891E+15      9.    3  'N IV 3Po 3'  0   0.   -102  
 4.55177950E+15      3.    3  'N IV 1Po 3'  0   0.   -102  
 4.31630201E+15      3.    3  'N IV 1Pe 1'  0   0.   -102  
   3  16   0   0   4      0      0   0.000E+00   5.000E-02
   3  17  -1   0   1      0      0   1.776E-01   2.000E-01
  F  1  7  0.  0.
   3  18   0   0   4      0      0   0.000E+00   5.000E-02
   3  19  -1   0   1      0      0   1.095E-01   2.000E-01
  F  1  7  0.  0.
   3  20   0   0   4      0      0   0.000E+00   5.000E-02
   3  21  -1   0   1      0      0   4.846E-02   2.000E-01
  F  1  7  0.  0.
   3  22   0   0   4      0      0   0.000E+00   5.000E-02
   3  23  -1   0   1      0      0   2.530E-02   2.000E-01
  F  1  7  0.  0.
   4   5   0   0   4      0      0   0.000E+00   5.000E-02
   4   6   0   0   4      0      0   0.000E+00   5.000E-02
   4   7   0   0   4      0      0   0.000E+00   5.000E-02
   4   8   0   0   4      0      0   0.000E+00   5.000E-02
   4   9   0   0   4      0      0   0.000E+00   5.000E-02
   4  10  -1   0   1      0      0   4.256E-04   2.000E-01
  F  1  7  0.  0.
   4  11   0   0   4      0      0   0.000E+00   5.000E-02
   4  12   0   0   4      0      0   0.000E+00   5.000E-02
   4  13  -1   0   1      0      0   1.167E-01   2.000E-01
  F  1  7  0.  0.
   4  14   0   0   4      0      0   0.000E+00   5.000E-02
   4  15   0   0   4      0      0   0.000E+00   5.000E-02
   4  16   0   0   4      0      0   0.000E+00   5.000E-02
   4  17   0   0   4      0      0   0.000E+00   5.000E-02
   4  18  -1   0   1      0      0   1.044E+00   2.000E-01
  F  1  7  0.  0.
   4  19   0   0   4      0      0   0.000E+00   5.000E-02
   4  20  -1   0   1      0      0   4.256E-04   2.000E-01
  F  1  7  0.  0.
   4  21   0   0   4      0      0   0.000E+00   5.000E-02
   4  22  -1   0   1      0      0   1.793E-02   2.000E-01
  F  1  7  0.  0.
   4  23   0   0   4      0      0   0.000E+00   5.000E-02
   5   6   0   0   4      0      0   0.000E+00   5.000E-02
   5   7   0   0   4      0      0   0.000E+00   5.000E-02
   5   8   0   0   4      0      0   0.000E+00   5.000E-02
   5   9  -1   0   1      0      0   2.020E-02   2.000E-01
  F  1  7  0.  0.
   5  10   0   0   4      0      0   0.000E+00   5.000E-02
   5  11   0   0   4      0      0   0.000E+00   5.000E-02
   5  12   0   0   4      0      0   0.000E+00   5.000E-02
   5  13   0   0   4      0      0   0.000E+00   5.000E-02
   5  14  -1   0   1      0      0   5.900E-02   2.000E-01
  F  1  7  0.  0.
   5  15   0   0   4      0      0   0.000E+00   5.000E-02
   5  16   0   0   4      0      0   0.000E+00   5.000E-02
   5  17  -1   0   1      0      0   6.480E-01   2.000E-01
