****** Levels
 3.51607927E+15      4.    1  'n1   4So 1'  0   0.  0
   1.118  -0.833  -1.440  -1.240   1.079  -1.048  -1.555  -1.302   0.910  -1.632
  -1.479   0.849  -1.594  -1.993  -2.085  -1.348  -2.101  -1.287  -2.139  -1.671
  -2.339  -4.579
  18  22   1    130      0      0      0   1.464E-19   0.000E+00
  -0.303  -0.290  -0.199  -0.186  -0.082  -0.067   0.048   0.064   0.213   0.222
   1.470   1.522   1.535   1.544   1.573   1.604   1.606   1.617   1.641   1.681
   1.724   1.752   1.759   1.766   1.777   1.799   1.833   1.975   2.010   2.702
  -0.089   0.279   0.064   0.356   0.106   0.338   0.044   0.241  -0.124   0.082
  -3.397  -2.635   1.879  -2.463  -2.965  -2.027   2.249  -2.133  -3.202  -3.479
  -3.400  -2.437   2.275  -1.552  -2.951  -3.545  -3.759  -3.828  -3.718  -5.772
  19  22   1    130      0      0      0   7.076E-20   0.000E+00
  -0.375  -0.296  -0.290  -0.203  -0.184  -0.092  -0.071   0.051   0.067   0.212
   0.227   1.242   1.491   1.522   1.532   1.534   1.546   1.564   1.598   1.612
   1.622   1.640   1.690   1.730   1.754   1.764   1.773   1.813   1.986   2.680
  -0.420  -0.658  -0.040  -0.242   0.043  -0.183   0.015  -0.270  -0.084  -0.444
  -0.226  -3.076  -3.614  -3.335  -2.278   2.005  -2.715  -3.349  -2.828   1.991
  -2.842  -3.617  -3.955  -3.856  -3.278   2.189  -3.321  -4.053  -4.307  -6.407
  20  22   1    135      0      0      0   1.320E-19   0.000E+00
  -0.314  -0.283  -0.190  -0.172  -0.079  -0.058   0.056   0.076   0.223   0.234
   0.564   0.900   1.491   1.544   1.554   1.568   1.585   1.611   1.629   1.641
   1.659   1.682   1.702   1.708   1.743   1.769   1.782   1.787   1.824   1.893
   1.929   1.977   1.995   2.023   2.701
  -0.476   0.195   0.045   0.288   0.067   0.252  -0.005   0.159  -0.212  -0.055
  -1.032  -1.788  -2.586  -2.166   2.167  -2.049  -2.482  -2.154   2.156  -2.236
  -2.611  -2.354  -0.421  -2.283  -2.658  -1.042   1.804  -1.885  -2.857  -3.056
  -2.740  -3.255  -2.799  -3.396  -5.448
  21  22   1    140      0      0      0   7.358E-20   0.000E+00
  -0.313  -0.300  -0.273  -0.270  -0.209  -0.197  -0.174  -0.167  -0.104  -0.086
  -0.063  -0.054   0.029   0.040   0.077   0.083   0.186   0.195   0.233   0.243
   0.815   1.032   1.054   1.103   1.514   1.551   1.557   1.561   1.600   1.618
   1.632   1.640   1.672   1.745   1.772   1.788   1.790   1.820   1.972   2.637
  -0.711  -0.404  -0.309  -0.066  -0.221  -0.134  -0.193   0.006  -0.169  -0.114
  -0.189   0.018  -0.213  -0.189  -0.281  -0.090  -0.388  -0.345  -0.464  -0.309
  -2.172  -2.577  -2.250  -2.807  -3.170  -2.710   1.634  -2.516  -3.291  -2.867
   1.912  -2.673  -3.399  -3.532  -3.194   2.093  -2.891  -3.641  -3.883  -5.897
*** Line transitions
   1   2   0   0   4      0      0   0.000E+00   5.000E-02
   1   3   0   0   4      0      0   0.000E+00   5.000E-02
   1   4  -1   0   1      0      0   3.300E-01   2.000E-01
  F  1  7  0.  0.
   1   5   0   0   4      0      0   0.000E+00   5.000E-02
   1   6  -1   0   1      0      0   2.315E-02   2.000E-01
  F  1  7  0.  0.
   1   7   0   0   4      0      0   0.000E+00   5.000E-02
   1   8   0   0   4      0      0   0.000E+00   5.000E-02
   1   9   0   0   4      0      0   0.000E+00   5.000E-02
   1  10   0   0   4      0      0   0.000E+00   5.000E-02
   1  11   0   0   4      0      0   0.000E+00   5.000E-02
   1  12   0   0   4      0      0   0.000E+00   5.000E-02
   1  13   0   0   4      0      0   0.000E+00   5.000E-02
   1  14  -1   0   1      0      0   1.493E-01   2.000E-01
  F  1  7  0.  0.
   1  15   0   0   4      0      0   0.000E+00   5.000E-02
   1  16   0   0   4      0      0   0.000E+00   5.000E-02
   1  17   0   0   4      0      0   0.000E+00   5.000E-02
   1  18   0   0   4      0      0   0.000E+00   5.000E-02
   1  19  -1   0   1      0      0   6.233E-02   2.000E-01
  F  1  7  0.  0.
   1  20   0   0   4      0      0   0.000E+00   5.000E-02
   1  21   0   0   4      0      0   0.000E+00   5.000E-02
   2   3   0   0   4      0      0   0.000E+00   5.000E-02
   2   4   0   0   4      0      0   0.000E+00   5.000E-02
   2   5  -1   0   1      0      0   7.060E-02   2.000E-01
  F  1  7  0.  0.
   2   6   0   0   4      0      0   0.000E+00   5.000E-02
   2   7   0   0   4      0      0   0.000E+00   5.000E-02
   2   8   0   0   4      0      0   0.000E+00   5.000E-02
   2   9   0   0   4      0      0   0.000E+00   5.000E-02
   2  10   0   0   4      0      0   0.000E+00   5.000E-02
   2  11   0   0   4      0      0   0.000E+00   5.000E-02
   2  12   0   0   4      0      0   0.000E+00   5.000E-02
   2  13  -1   0   1      0      0   7.760E-02   2.000E-01
  F  1  7  0.  0.
   2  14   0   0   4      0      0   0.000E+00   5.000E-02
   2  15  -1   0   1      0      0   7.659E-02   2.000E-01
  F  1  7  0.  0.
   2  16   0   0   4      0      0   0.000E+00   5.000E-02
   2  17   0   0   4      0      0   0.000E+00   5.000E-02
   2  18  -1   0   1      0      0   2.920E-02   2.000E-01
  F  1  7  0.  0.
   2  19   0   0   4      0      0   0.000E+00   5.000E-02
   2  20   0   0   4      0      0   0.000E+00   5.000E-02
   2  21   0   0   4      0      0   0.000E+00   5.000E-02
   3   4   0   0   4      0      0   0.000E+00   5.000E-02
   3   5  -1   0   1      0      0   6.133E-02   2.000E-01
  F  1  7  0.  0.
   3   6   0   0   4      0      0   0.000E+00   5.000E-02
   3   7   0   0   4      0      0   0.000E+00   5.000E-02
   3   8   0   0   4      0      0   0.000E+00   5.000E-02
   3   9   0   0   4      0      0   0.000E+00   5.000E-02
   3  10   0   0   4      0      0   0.000E+00   5.000E-02
   3  11   0   0   4      0      0   0.000E+00   5.000E-02
   3  12   0   0   4      0      0   0.000E+00   5.000E-02
   3  13  -1   0   1      0      0   2.133E-02   2.000E-01
  F  1  7  0.  0.
   3  14   0   0   4      0      0   0.000E+00   5.000E-02
   3  15  -1   0   1      0      0   8.402E-02   2.000E-01
  F  1  7  0.  0.
   3  16   0   0   4      0      0   0.000E+00   5.000E-02
   3  17   0   0   4      0      0   0.000E+00   5.000E-02
   3  18  -1   0   1      0      0   3.195E-02   2.000E-01
  F  1  7  0.  0.
   3  19   0   0   4      0      0   0.000E+00   5.000E-02
   3  20   0   0   4      0      0   0.000E+00   5.000E-02
   3  21   0   0   4      0      0   0.000E+00   5.000E-02
   4   5   0   0   4      0      0   0.000E+00   5.000E-02
   4   6   0   0   4      0      0   0.000E+00   5.000E-02
   4   7   0   0   4      0      0   0.000E+00   5.000E-02
   4   8  -1   0   1      0      0   3.525E-01   7.000E-01
  F  1  7  0.  0.
   4   9  -1   0   1      0      0   2.450E-01   7.000E-01
  F  1  7  0.  0.
   4  10  -1   0   1      0      0   6.675E-02   2.000E-01
  F  1  7  0.  0.
   4  11   0   0   4      0      0   0.000E+00   5.000E-02
   4  12   0   0   4      0      0   0.000E+00   5.000E-02
